,PH,PL
2002-01-11,1154.9583333333335,1161.5833333333333
2002-01-14,1146.25,1148.5
2002-01-15,1151.7916666666665,1146.6666666666667
2002-01-16,1133.8333333333335,1143.0833333333333
2002-01-17,1139.0833333333335,1137.8333333333333
2002-01-18,1134.375,1135.5
2002-01-22,1128.25,1134.25
2002-01-23,1132.7083333333335,1128.8333333333333
2002-01-24,1138.5833333333335,1139.5833333333333
2002-01-25,1138.25,1138.25
2002-01-28,1139.5416666666665,1136.6666666666667
2002-01-29,1111.2916666666665,1128.6666666666667
2002-01-30,1114.5833333333335,1097.5833333333333
2002-01-31,1132.5,1123.5
2002-02-01,1128.9583333333335,1131.0833333333333
2002-02-04,1104.5,1116.5
2002-02-05,1094.9583333333335,1097.8333333333333
2002-02-06,1089.0833333333335,1091.5833333333333
2002-02-07,1084.875,1093.5
2002-02-08,1097.2083333333335,1088.0833333333333
2002-02-11,1112.8333333333335,1106.3333333333333
2002-02-12,1112.625,1113.0
2002-02-13,1121.9583333333335,1116.5833333333333
2002-02-14,1122.375,1124.25
2002-02-15,1111.6666666666665,1117.4166666666667
2002-02-18,1110.0833333333335,1111.0833333333333
2002-02-19,1092.4583333333335,1103.5833333333333
2002-02-20,1101.5416666666665,1088.1666666666667
2002-02-21,1087.7083333333335,1098.8333333333333
2002-02-22,1094.375,1087.25
2002-02-25,1111.5833333333335,1102.0833333333333
2002-02-26,1113.0833333333335,1113.3333333333333
2002-02-27,1117.0833333333335,1118.0833333333333
2002-02-28,1114.4166666666665,1121.6666666666667
2002-03-01,1133.4166666666665,1120.4166666666667
2002-03-04,1153.9583333333335,1144.0833333333333
2002-03-05,1154.875,1157.5
2002-03-06,1165.4166666666665,1158.4166666666667
2002-03-07,1164.6666666666665,1164.4166666666667
2002-03-08,1169.5416666666665,1171.1666666666667
2002-03-11,1171.375,1171.0
2002-03-12,1170.0,1163.25
2002-03-13,1161.5416666666665,1167.6666666666667
2002-03-14,1159.75,1156.75
2002-03-15,1162.6499837239585,1159.8000081380208
2002-03-18,1172.625,1173.75
2002-03-19,1178.5416666666665,1176.4166666666667
2002-03-20,1161.0,1172.25
2002-03-21,1156.7916666666665,1153.9166666666667
2002-03-22,1155.7916666666665,1158.9166666666667
2002-03-25,1143.0416666666665,1150.6666666666667
2002-03-26,1147.25,1146.5
2002-03-27,1149.3333333333335,1147.3333333333333
2002-03-28,1151.5,1156.75
2002-04-01,1148.7083333333335,1146.3333333333333
2002-04-02,1144.3333333333335,1146.8333333333333
2002-04-03,1135.5,1136.25
2002-04-04,1131.2916666666665,1132.1666666666667
2002-04-05,1131.25,1133.5
2002-04-08,1130.125,1121.5
2002-04-09,1126.875,1131.0
2002-04-10,1135.25,1129.25
2002-04-11,1113.6666666666665,1127.6666666666667
2002-04-12,1116.0,1113.0
2002-04-15,1110.625,1114.75
2002-04-16,1130.6666666666665,1118.4166666666667
2002-04-17,1133.5833333333335,1135.3333333333333
2002-04-18,1127.2083333333335,1124.8333333333333
2002-04-19,1130.5416666666665,1127.6666666666667
2002-04-22,1116.3333333333335,1124.8333333333333
2002-04-23,1109.0,1112.75
2002-04-24,1099.7083333333335,1108.5833333333333
2002-04-25,1096.4166666666665,1093.1666666666667
2002-04-26,1080.5,1093.25
2002-04-29,1072.2083333333335,1078.8333333333333
2002-04-30,1080.125,1077.5
2002-05-01,1089.5,1078.25
2002-05-02,1090.0833333333335,1091.0833333333333
2002-05-03,1079.7916666666665,1085.1666666666667
2002-05-06,1060.5833333333335,1072.0833333333333
2002-05-07,1054.25,1059.5
2002-05-08,1085.875,1070.5
2002-05-09,1081.5416666666665,1088.4166666666667
2002-05-10,1063.0,1075.0
2002-05-13,1076.9166666666665,1066.1666666666667
2002-05-14,1099.5,1088.25
2002-05-15,1100.2083333333335,1103.0833333333333
2002-05-16,1102.6666666666665,1098.6666666666667
2002-05-17,1109.5,1107.25
2002-05-20,1100.2083333333335,1105.3333333333333
2002-05-21,1090.1666666666665,1097.4166666666667
2002-05-22,1088.7083333333335,1084.8333333333333
2002-05-23,1099.2916666666665,1092.6666666666667
2002-05-24,1090.5,1099.5
2002-05-27,1090.7916666666665,1091.6666666666667
2002-05-28,1082.6666666666665,1086.1666666666667
2002-05-29,1074.5416666666665,1078.4166666666667
2002-05-30,1069.875,1068.0
2002-05-31,1071.5833333333335,1079.3333333333333
2002-06-03,1048.5833333333335,1063.8333333333333
2002-06-04,1045.9583333333335,1042.8333333333333
2002-06-05,1053.6666666666665,1048.1666666666667
2002-06-06,1037.8333333333335,1047.8333333333333
2002-06-07,1031.2083333333335,1025.0833333333333
2002-06-10,1037.2083333333335,1037.0833333333333
2002-06-11,1023.8333333333333,1038.3333333333335
2002-06-12,1022.875,1015.0
2002-06-13,1017.7916666666667,1024.6666666666665
2002-06-14,1009.2916666666667,995.1666666666666
2002-06-17,1035.375,1020.75
2002-06-18,1047.2083333333335,1039.5833333333333
2002-06-19,1027.7916666666665,1037.6666666666667
2002-06-20,1014.25,1022.5
2002-06-21,1005.0833333333333,1011.3333333333334
2002-06-24,998.9166666666667,990.4166666666666
2002-06-25,984.8333333333333,1000.8333333333334
2002-06-26,975.7083333333333,963.5833333333334
2002-06-27,992.3333333333333,979.0833333333334
2002-06-28,995.2083333333333,1001.8333333333334
2002-07-01,978.2083333333333,990.8333333333334
2002-07-02,956.7916666666667,968.9166666666666
2002-07-03,955.375,947.5
2002-07-04,957.4166666666667,957.1666666666666
2002-07-05,989.5416666666667,970.1666666666666
2002-07-08,985.3333333333333,991.5833333333334
2002-07-09,963.7083333333333,975.5833333333334
2002-07-10,930.7083333333333,951.5833333333334
2002-07-11,928.1666666666667,916.6666666666666
2002-07-12,924.625,933.25
2002-07-15,918.25,896.5
2002-07-16,910.2916666666667,916.4166666666666
2002-07-17,911.5416666666667,917.6666666666666
2002-07-18,887.5,908.5
2002-07-19,854.4583333333333,869.3333333333334
2002-07-22,828.8333333333333,843.3333333333334
2002-07-23,807.5833333333333,826.5833333333334
2002-07-24,837.9166666666667,802.4166666666666
2002-07-25,840.5416666666667,837.6666666666666
2002-07-26,853.5833333333333,841.0833333333334
2002-07-29,892.75,875.5
